Área de Avaliação	Código da IES	Nome da IES*	Categoria Administrativa	Modalidade de Ensino	Sigla da UF** 	Nº  de Concluintes Participantes	Nota Padronizada - FG	Nota Padronizada - CE	Conceito Enade (Contínuo)	Conceito Enade (Faixa)	 Proporção de Concluintes participantes com nota no Enem	 Nota Bruta - IDD	 IDD (Contínuo)	 IDD (Faixa)
MEDICINA VETERINÁRIA	3304	CENTRO UNIVERSITÁRIO DE PATOS	Privada com fins lucrativos	Educação Presencial	PB	25	1,490408761	1,942969054	1,829828981	2	0,92	-1,492677485	1,853495261	2
NUTRIÇÃO	3304	CENTRO UNIVERSITÁRIO DE PATOS	Privada com fins lucrativos	Educação Presencial	PB	32	1,664506481	1,155065596	1,282425817	2	0,90625	-4,727906951	0,541045349	1
TECNOLOGIA EM RADIOLOGIA	3304	CENTRO UNIVERSITÁRIO DE PATOS	Privada com fins lucrativos	Educação Presencial	PB	16	2,245774728	2,944472112	2,769797766	3	0,75	3,602665259	3,050147014	4
ARQUITETURA E URBANISMO	3304	CENTRO UNIVERSITÁRIO DE PATOS	Privada com fins lucrativos	Educação Presencial	PB	39	1,745857894	2,210958946	2,094683683	3	0,897435897	-0,181202263	2,575819997	3
MEDICINA	3304	CENTRO UNIVERSITÁRIO DE PATOS	Privada com fins lucrativos	Educação Presencial	PB	101	1,890958103	2,245729671	2,157036779	3	0,910891089	-0,294124778	2,210374038	3
BIOMEDICINA	3304	CENTRO UNIVERSITÁRIO DE PATOS	Privada com fins lucrativos	Educação Presencial	PB	21	2,173276484	1,90935981	1,975338978	3	1	1,891516351	2,704597715	3
FISIOTERAPIA	3304	CENTRO UNIVERSITÁRIO DE PATOS	Privada com fins lucrativos	Educação Presencial	PB	55	1,728124255	2,61513447	2,393381916	3	0,981818182	0,000660934	2,508969303	3
ENFERMAGEM	3304	CENTRO UNIVERSITÁRIO DE PATOS	Privada com fins lucrativos	Educação Presencial	PB	84	2,086733346	1,860451565	1,91702201	2	0,928571429	-2,648245904	1,870964861	2
ODONTOLOGIA	3304	CENTRO UNIVERSITÁRIO DE PATOS	Privada com fins lucrativos	Educação Presencial	PB	73	2,329520751	1,726095568	1,876951864	2	0,95890411	-1,555644482	2,065852103	3
ENGENHARIA CIVIL	3304	CENTRO UNIVERSITÁRIO DE PATOS	Privada com fins lucrativos	Educação Presencial	PB	24	1,556495405	1,915548197	1,825784999	2	0,958333333	-0,433067427	2,092732342	3
MEDICINA VETERINÁRIA	2564	UNIVERSIDADE FEDERAL DE CAMPINA GRANDE	Pública Federal	Educação Presencial	PB	116	3,248386176	2,537866614	2,715496505	3	0,974137931	-2,458519911	1,538549699	2
ENGENHARIA FLORESTAL	2564	UNIVERSIDADE FEDERAL DE CAMPINA GRANDE	Pública Federal	Educação Presencial	PB	11	4,288006411	2,835979135	3,198985954	4	1	0,637848482	2,806410823	3
ODONTOLOGIA	2564	UNIVERSIDADE FEDERAL DE CAMPINA GRANDE	Pública Federal	Educação Presencial	PB	128	4,023892496	3,184707503	3,394503751	4	0,9921875	1,013109961	2,749691739	3
ENGENHARIA CIVIL	1166	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA	Pública Federal	Educação Presencial	PB	7	2,375581812	3,942918204	3,551084106	4	1	4,903328617	3,525960709	4
ENGENHARIA DE ALIMENTOS	2564	UNIVERSIDADE FEDERAL DE CAMPINA GRANDE	Pública Federal	Educação Presencial	PB	19	3,126602013	0,727589868	1,327342904	2	1	0,04931201	2,374163646	3
AGRONOMIA	2564	UNIVERSIDADE FEDERAL DE CAMPINA GRANDE	Pública Federal	Educação Presencial	PB	40	2,72722197	2,467983813	2,532793352	3	1	0,042700202	2,493227904	3
ENGENHARIA CIVIL	2564	UNIVERSIDADE FEDERAL DE CAMPINA GRANDE	Pública Federal	Educação Presencial	PB	97	2,940986487	3,253413153	3,175306486	4	1	3,587373352	3,172526593	4
ENGENHARIA AMBIENTAL	2564	UNIVERSIDADE FEDERAL DE CAMPINA GRANDE	Pública Federal	Educação Presencial	PB	19	1,810277195	1,824810695	1,82117732	2	1	-1,799936359	1,462194341	2
TECNOLOGIA EM GESTÃO AMBIENTAL	1166	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA	Pública Federal	Educação Presencial	PB	15	2,695115104	1,549722134	1,836070377	2	0,933333333	-0,136495727	2,064778724	3
MEDICINA VETERINÁRIA	1166	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA	Pública Federal	Educação Presencial	PB	35	2,833744676	2,987172335	2,94881542	4	0,971428571	2,878794109	3,278961303	4
ENGENHARIA DE PRODUÇÃO	2564	UNIVERSIDADE FEDERAL DE CAMPINA GRANDE	Pública Federal	Educação Presencial	PB	26	2,286747906	2,369075816	2,348493839	3	1	-0,582975671	2,058159292	3
AGRONOMIA	704	FACULDADE DE CIÊNCIAS AGRÁRIAS DE ARARIPINA	Especial	Educação Presencial	PE	11	2,062615941	1,494882171	1,636815613	2	0,363636364	-0,936952437	2,197923401	3
ENGENHARIA CIVIL	73	CENTRO DE ENSINO SUPERIOR DE ARCOVERDE	Especial	Educação Presencial	PE	20	1,607142857	1,39035474	1,444551769	2	0,4	-2,984038502	1,407602513	2
FARMÁCIA	4858	ESCOLA SUPERIOR DE SAÚDE DE ARCOVERDE	Especial	Educação Presencial	PE	45	1,782887623	0,811853881	1,054612317	2	0,777777778	-6,27226968	0,668106814	1
FISIOTERAPIA	4858	ESCOLA SUPERIOR DE SAÚDE DE ARCOVERDE	Especial	Educação Presencial	PE	43	1,659571131	2,026860205	1,935037936	2	0,976744186	-1,821034024	2,000287451	3
ENFERMAGEM	4858	ESCOLA SUPERIOR DE SAÚDE DE ARCOVERDE	Especial	Educação Presencial	PE	39	2,186454711	1,330070228	1,544166349	2	0,820512821	-4,907796637	1,306363006	2
FARMÁCIA	674	CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO	Especial	Educação Presencial	PE	14	2,38117758	0,792557079	1,189712204	2	0,928571429	-2,252005007	1,758381959	2
ENFERMAGEM	3617	FACULDADE DE CIÊNCIAS HUMANAS E EXATAS DO SERTÃO DO SÃO FRANCISCO	Privada com fins lucrativos	Educação Presencial	PE	72	1,726710305	1,277310775	1,389660658	2	0,902777778	-5,752606293	1,095267458	2
FISIOTERAPIA	3617	FACULDADE DE CIÊNCIAS HUMANAS E EXATAS DO SERTÃO DO SÃO FRANCISCO	Privada com fins lucrativos	Educação Presencial	PE	70	1,497703795	1,126044454	1,218959289	2	0,957142857	-4,923707521	1,13391095	2
NUTRIÇÃO	3617	FACULDADE DE CIÊNCIAS HUMANAS E EXATAS DO SERTÃO DO SÃO FRANCISCO	Privada com fins lucrativos	Educação Presencial	PE	24	1,527833167	0,931157928	1,080326738	2	0,833333333	-1,757609476	1,829932046	2
AGRONOMIA	674	CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO	Especial	Educação Presencial	PE	9	0,730417202	1,367663784	1,208352138	2	0,444444444	1,498347882	2,932015386	3
ENFERMAGEM	685	FACULDADE DO BELO JARDIM	Especial	Educação Presencial	PE	5	2,212170238	1,276158048	1,510161095	2	0,4	-0,884428142	2,311696182	3
ENGENHARIA DE PRODUÇÃO	685	FACULDADE DO BELO JARDIM	Especial	Educação Presencial	PE	1				SC	0			SC
ENGENHARIA MECÂNICA	587	UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO	Pública Federal	Educação Presencial	PE	24	3,84659185	3,920036244	3,901675146	4	1	5,85900209	4,592951611	5
FARMÁCIA	18211	FACULDADE UNINASSAU CABO	Privada com fins lucrativos	Educação Presencial	PE	0				SC				SC
ENGENHARIA ELÉTRICA	587	UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO	Pública Federal	Educação Presencial	PE	9	1,686494575	2,658496732	2,415496193	3	1	0,294609398	2,724013085	3
ENGENHARIA CIVIL	587	UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO	Pública Federal	Educação Presencial	PE	16	3,473527569	3,499136929	3,492734589	4	1	5,051119625	3,56565384	4
ENGENHARIA DE CONTROLE E AUTOMAÇÃO	126	INSTITUTO NACIONAL DE TELECOMUNICAÇÕES	Privada sem fins lucrativos	Educação Presencial	MG	41	3,121492289	3,114799775	3,116472904	4	0,902439024	2,469975435	3,621397687	4
ENGENHARIA DE PRODUÇÃO	166	FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO	Privada sem fins lucrativos	Educação Presencial	MG	4	3,084940073	1,854244604	2,161918471	3	0,75	0,755269925	2,792295973	3
ENGENHARIA DE PRODUÇÃO	126	INSTITUTO NACIONAL DE TELECOMUNICAÇÕES	Privada sem fins lucrativos	Educação Presencial	MG	15	3,207399687	3,052201439	3,091001001	4	0,6	0,620515267	2,718372071	3
ENGENHARIA ELÉTRICA	126	INSTITUTO NACIONAL DE TELECOMUNICAÇÕES	Privada sem fins lucrativos	Educação Presencial	MG	5	3,560942761	4,044117647	3,923323926	4	0,4	1,472753857	3,301572458	4
AGRONOMIA	2763	FACULDADE DE CIÊNCIAS GERENCIAIS DE SÃO GOTARDO	Privada com fins lucrativos	Educação Presencial	MG	9	3,192306889	2,839800048	2,927926758	3	0,777777778	2,085935578	3,109136628	4
ENGENHARIA ELÉTRICA	107	UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI	Pública Federal	Educação Presencial	MG	101	3,473547355	3,561298777	3,539360921	4	0,97029703	1,336842081	3,234944704	4
TECNOLOGIA EM GESTÃO AMBIENTAL	3279	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	2	4,53396968	3,975963493	4,11546504	5	1	1,369123746	3,44313269	4
FISIOTERAPIA	1599	CENTRO UNIVERSITÁRIO PRESIDENTE TANCREDO DE ALMEIDA NEVES	Privada com fins lucrativos	Educação Presencial	MG	72	2,906519296	2,70975552	2,758946464	3	0,819444444	-0,202752539	2,452169046	3
NUTRIÇÃO	1599	CENTRO UNIVERSITÁRIO PRESIDENTE TANCREDO DE ALMEIDA NEVES	Privada com fins lucrativos	Educação Presencial	MG	55	2,63510378	2,400517325	2,459163939	3	0,763636364	0,056734424	2,617221446	3
MEDICINA	1599	CENTRO UNIVERSITÁRIO PRESIDENTE TANCREDO DE ALMEIDA NEVES	Privada com fins lucrativos	Educação Presencial	MG	65	2,475805407	2,579906727	2,553881397	3	1	1,34282313	2,748257871	3
ENGENHARIA CIVIL	1599	CENTRO UNIVERSITÁRIO PRESIDENTE TANCREDO DE ALMEIDA NEVES	Privada com fins lucrativos	Educação Presencial	MG	0				SC				SC
ODONTOLOGIA	1599	CENTRO UNIVERSITÁRIO PRESIDENTE TANCREDO DE ALMEIDA NEVES	Privada com fins lucrativos	Educação Presencial	MG	36	2,202507752	2,251870621	2,239529904	3	0,916666667	-0,846675361	2,254589951	3
ENFERMAGEM	1599	CENTRO UNIVERSITÁRIO PRESIDENTE TANCREDO DE ALMEIDA NEVES	Privada com fins lucrativos	Educação Presencial	MG	33	3,359902388	3,049971948	3,127454558	4	0,878787879	3,746376275	3,4688115	4
ARQUITETURA E URBANISMO	107	UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI	Pública Federal	Educação Presencial	MG	55	4,942276626	4,520629371	4,626041184	5	0,981818182	3,464278699	4,162787061	5
ENGENHARIA MECÂNICA	107	UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI	Pública Federal	Educação Presencial	MG	187	3,782202266	3,116249743	3,282737874	4	1	0,769897666	2,612581134	3
ENGENHARIA DE PRODUÇÃO	107	UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI	Pública Federal	Educação Presencial	MG	83	3,813858875	3,824134524	3,821565611	4	0,963855422	1,484627031	3,192407737	4
ZOOTECNIA	107	UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI	Pública Federal	Educação Presencial	MG	68	3,630596571	3,483405814	3,520203503	4	1	1,006504888	2,874402491	3
MEDICINA	107	UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI	Pública Federal	Educação Presencial	MG	23	4,629316187	1,796850185	2,504966686	3	0,869565217	-3,791444568	1,061191609	2
ENGENHARIA FLORESTAL	3189	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	23	2,896520887	1,933028199	2,173901371	3	0,913043478	-1,302782585	1,979774383	3
AGRONOMIA	3189	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	54	3,583096504	3,315480441	3,382384457	4	0,981481481	1,905392342	3,054714041	4
NUTRIÇÃO	828	FACULDADE DE SÃO LOURENÇO	Privada com fins lucrativos	Educação Presencial	MG	7	2,010468594	1,444665944	1,586116607	2	1	-1,755045483	1,831044627	2
ENFERMAGEM	828	FACULDADE DE SÃO LOURENÇO	Privada com fins lucrativos	Educação Presencial	MG	23	2,333294095	2,212620015	2,242788535	3	0,869565217	-1,892184697	2,059884523	3
BIOMEDICINA	828	FACULDADE DE SÃO LOURENÇO	Privada com fins lucrativos	Educação Presencial	MG	17	1,502799556	1,804140886	1,728805554	2	1	-1,622306915	1,923469089	2
ENGENHARIA DE PRODUÇÃO	1417	FACULDADE CNEC CAMPO LARGO	Comunitária/Confessional	Educação Presencial	PR	2	3,325951016	1,736402878	2,133789912	3	0			SC
ENGENHARIA AMBIENTAL	588	UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ	Pública Federal	Educação Presencial	PR	33	2,192192067	1,721712272	1,839332221	2	0,848484848	-3,012228338	0,771177657	1
ENGENHARIA DE PRODUÇÃO	18492	Universidade Estadual do Paraná	Pública Estadual	Educação Presencial	PR	10	1,594580511	1,888690647	1,815163113	2	1	-1,061744185	1,795515776	2
FISIOTERAPIA	12766	FACULDADE UNIÃO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação Presencial	PR	9	2,002248033	1,592212331	1,694721257	2	0,666666667	-2,247031553	1,881333829	2
ARQUITETURA E URBANISMO	12766	FACULDADE UNIÃO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação Presencial	PR	4	2,881607713	2,333217684	2,470315192	3	1	2,890440191	3,912981118	4
ENFERMAGEM	12766	FACULDADE UNIÃO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação Presencial	PR	12	1,578647605	2,770979641	2,472896632	3	0,583333333	4,722368067	3,712685987	4
FISIOTERAPIA	1078	CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação Presencial	PR	34	2,600312961	2,979453045	2,884668024	3	0,941176471	5,961875662	4,173551915	5
MEDICINA	1078	CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação Presencial	PR	54	2,582995939	3,206126841	3,050344115	4	0,962962963	1,946249892	2,946537546	4
NUTRIÇÃO	1078	CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação Presencial	PR	13	2,107408544	2,929632215	2,724076297	3	0,769230769	2,082031981	3,496048937	4
TECNOLOGIA EM GESTÃO HOSPITALAR	1078	CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação a Distância	PR	0				SC				SC
FARMÁCIA	1078	CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação Presencial	PR	6	4,21807456	3,351233387	3,56794368	4	1	8,12940451	4,573766937	5
ENFERMAGEM	1078	CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação Presencial	PR	25	3,001617856	2,422359367	2,567173989	3	0,8	3,53814145	3,416779135	4
ENGENHARIA DE PRODUÇÃO	1078	CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação Presencial	PR	3	1,721382665	2,308489209	2,161712573	3	1	0,074534856	2,418857356	3
ENGENHARIA CIVIL	1078	CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação Presencial	PR	10	2,096491228	1,9457733	1,983452782	3	0,8	-1,946126935	1,68636074	2
TECNOLOGIA EM ESTÉTICA E COSMÉTICA	1078	CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação Presencial	PR	15	2,250222618	3,025903633	2,831983379	3	0,4	3,080847782	3,473403623	4
MEDICINA VETERINÁRIA	1078	CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação Presencial	PR	19	1,678607318	3,077768512	2,727978214	3	0,684210526	3,872317599	3,602933211	4
BIOMEDICINA	1078	CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação Presencial	PR	14	3,793545899	3,233875181	3,37379286	4	0,785714286	9,497845283	4,395497006	5
ARQUITETURA E URBANISMO	1078	CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação Presencial	PR	9	2,456851717	2,410586836	2,422153056	3	0,888888889	-0,182816124	2,575117444	3
AGRONOMIA	1078	CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO	Privada com fins lucrativos	Educação Presencial	PR	37	2,663631566	2,958690659	2,884925886	3	0,810810811	5,081606504	4,01214559	5
ENGENHARIA CIVIL	588	UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ	Pública Federal	Educação Presencial	PR	72	3,025967697	3,312992776	3,241236506	4	1	2,258547708	2,815635802	3
ENGENHARIA DE ALIMENTOS	588	UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ	Pública Federal	Educação Presencial	PR	40	2,507027684	1,824027378	1,994777454	3	0,975	-1,826506403	1,291201009	2
ENGENHARIA QUÍMICA	588	UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ	Pública Federal	Educação Presencial	PR	19	3,433568335	1,885380045	2,272427118	3	0,684210526	-0,557893422	1,94490322	2
ENFERMAGEM	437	UNIVERSIDADE PARANAENSE	Privada com fins lucrativos	Educação Presencial	PR	13	2,850296268	2,728349185	2,758835956	3	0,692307692	2,543937717	3,168353966	4
ENFERMAGEM	1336	CENTRO UNIVERSITÁRIO ASSIS GURGACZ	Privada sem fins lucrativos	Educação Presencial	PR	18	3,027288936	2,82920716	2,878727604	3	0,555555556	1,746181997	2,96901595	4
AGRONOMIA	1336	CENTRO UNIVERSITÁRIO ASSIS GURGACZ	Privada sem fins lucrativos	Educação Presencial	PR	25	3,096479955	3,195382052	3,170656528	4	0,8	3,98143531	3,680512219	4
TECNOLOGIA EM GESTÃO HOSPITALAR	1336	CENTRO UNIVERSITÁRIO ASSIS GURGACZ	Privada sem fins lucrativos	Educação a Distância	PR	2	3,893300248	1,757246377	2,291259845	3	0,5			SC
FARMÁCIA	1336	CENTRO UNIVERSITÁRIO ASSIS GURGACZ	Privada sem fins lucrativos	Educação Presencial	PR	11	3,502265227	4,225850995	4,044954553	5	0,545454545	5,109640314	3,754822387	4
ENGENHARIA ELÉTRICA	1336	CENTRO UNIVERSITÁRIO ASSIS GURGACZ	Privada sem fins lucrativos	Educação Presencial	PR	7	2,318422318	2,831932773	2,703555159	3	0,428571429	-0,006935959	2,576187115	3
ENGENHARIA DE CONTROLE E AUTOMAÇÃO	1336	CENTRO UNIVERSITÁRIO ASSIS GURGACZ	Privada sem fins lucrativos	Educação Presencial	PR	1				SC	1			SC
FISIOTERAPIA	1336	CENTRO UNIVERSITÁRIO ASSIS GURGACZ	Privada sem fins lucrativos	Educação Presencial	PR	9	4,735856126	4,15606284	4,301011162	5	0,888888889	6,563244918	4,341475544	5
FONOAUDIOLOGIA	1336	CENTRO UNIVERSITÁRIO ASSIS GURGACZ	Privada sem fins lucrativos	Educação Presencial	PR	7	3,977073558	3,270507185	3,447148778	4	0,571428571	1,482044782	3,211614112	4
ENGENHARIA CIVIL	1336	CENTRO UNIVERSITÁRIO ASSIS GURGACZ	Privada sem fins lucrativos	Educação Presencial	PR	7	3,150733978	2,922867107	2,979833825	4	0,857142857	2,223581201	2,806244634	3
NUTRIÇÃO	1336	CENTRO UNIVERSITÁRIO ASSIS GURGACZ	Privada sem fins lucrativos	Educação Presencial	PR	7	3,192921236	3,138186403	3,151870112	4	0,428571429	0,139464835	2,65312025	3
ARQUITETURA E URBANISMO	1336	CENTRO UNIVERSITÁRIO ASSIS GURGACZ	Privada sem fins lucrativos	Educação Presencial	PR	6	3,17170245	4,249405234	3,979979538	5	0,833333333	1,522655446	3,317550949	4
ENGENHARIA MECÂNICA	1336	CENTRO UNIVERSITÁRIO ASSIS GURGACZ	Privada sem fins lucrativos	Educação Presencial	PR	9	3,82364309	3,201570582	3,357088709	4	0,444444444	2,3084232	3,211281866	4
MEDICINA VETERINÁRIA	1336	CENTRO UNIVERSITÁRIO ASSIS GURGACZ	Privada sem fins lucrativos	Educação Presencial	PR	13	3,007836991	2,916245044	2,939143031	3	0,692307692	1,249727056	2,747748938	3
MEDICINA	1336	CENTRO UNIVERSITÁRIO ASSIS GURGACZ	Privada sem fins lucrativos	Educação Presencial	PR	48	3,819014556	4,632085659	4,428817883	5	0,958333333	6,829998504	4,551285876	5
TECNOLOGIA EM GESTÃO AMBIENTAL	1336	CENTRO UNIVERSITÁRIO ASSIS GURGACZ	Privada sem fins lucrativos	Educação a Distância	PR	1				SC	0			SC
ENGENHARIA ELÉTRICA	1258	FACULDADE ANHANGUERA DE CASCAVEL	Privada com fins lucrativos	Educação Presencial	PR	1				SC	0			SC
ENGENHARIA MECÂNICA	1258	FACULDADE ANHANGUERA DE CASCAVEL	Privada com fins lucrativos	Educação Presencial	PR	0				SC				SC
ENGENHARIA CIVIL	1258	FACULDADE ANHANGUERA DE CASCAVEL	Privada com fins lucrativos	Educação Presencial	PR	1				SC	0			SC
TECNOLOGIA EM ESTÉTICA E COSMÉTICA	1256	FACULDADE DOM BOSCO	Privada sem fins lucrativos	Educação Presencial	PR	5	4,652715939	5	4,913178985	5	0,6	7,201354631	4,761698725	5
BIOMEDICINA	918	CENTRO UNIVERSITÁRIO UNIVEL	Privada com fins lucrativos	Educação Presencial	PR	53	2,7806715	3,247225683	3,130587137	4	0,886792453	7,999615591	4,062438109	5
MEDICINA VETERINÁRIA	918	CENTRO UNIVERSITÁRIO UNIVEL	Privada com fins lucrativos	Educação Presencial	PR	48	2,587621508	2,946880297	2,8570656	3	0,75	2,821083844	3,260142921	4
NUTRIÇÃO	918	CENTRO UNIVERSITÁRIO UNIVEL	Privada com fins lucrativos	Educação Presencial	PR	21	2,776836158	3,722339632	3,485963764	4	0,714285714	2,243913575	3,566293428	4
FISIOTERAPIA	918	CENTRO UNIVERSITÁRIO UNIVEL	Privada com fins lucrativos	Educação Presencial	PR	57	2,134921417	3,127383885	2,879268268	3	0,789473684	3,993132451	3,623808974	4
ARQUITETURA E URBANISMO	918	CENTRO UNIVERSITÁRIO UNIVEL	Privada com fins lucrativos	Educação Presencial	PR	20	3,394753069	3,349910785	3,361121356	4	0,9	3,064859019	3,988909901	5
ENGENHARIA CIVIL	918	CENTRO UNIVERSITÁRIO UNIVEL	Privada com fins lucrativos	Educação Presencial	PR	23	2,195706658	2,571660941	2,47767237	3	0,869565217	0,970758073	2,469766301	3
ENGENHARIA DE PRODUÇÃO	918	CENTRO UNIVERSITÁRIO UNIVEL	Privada com fins lucrativos	Educação Presencial	PR	12	3,037172138	2,629784173	2,731631164	3	0,75	0,349421267	2,569654937	3
AGRONOMIA	918	CENTRO UNIVERSITÁRIO UNIVEL	Privada com fins lucrativos	Educação Presencial	PR	24	2,573014293	3,02090772	2,908934364	3	0,791666667	3,014168314	3,38894122	4
ENGENHARIA MECÂNICA	918	CENTRO UNIVERSITÁRIO UNIVEL	Privada com fins lucrativos	Educação Presencial	PR	20	2,607255259	2,523955148	2,544780176	3	1	2,349360352	3,227212121	4
ODONTOLOGIA	918	CENTRO UNIVERSITÁRIO UNIVEL	Privada com fins lucrativos	Educação Presencial	PR	37	2,907024344	3,600890166	3,42742371	4	0,810810811	8,702694754	4,796770582	5
ENFERMAGEM	609	UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ	Pública Estadual	Educação Presencial	PR	43	3,708034225	3,699781085	3,70184437	4	0,953488372	1,66551035	2,948858244	4
ENGENHARIA CIVIL	609	UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ	Pública Estadual	Educação Presencial	PR	30	3,286131997	4,048958248	3,858251685	4	1	5,140965779	3,589784368	4
MEDICINA	609	UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ	Pública Estadual	Educação Presencial	PR	43	3,89234893	3,538071099	3,626640557	4	1	-0,345944825	2,193346517	3
FARMÁCIA	609	UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ	Pública Estadual	Educação Presencial	PR	32	3,57368056	3,975195351	3,874816653	4	1	1,815037835	2,861343104	3
ARQUITETURA E URBANISMO	437	UNIVERSIDADE PARANAENSE	Privada com fins lucrativos	Educação Presencial	PR	14	2,185380346	2,62628866	2,516061581	3	0,785714286	-1,034428702	2,20438965	3
BIOMEDICINA	437	UNIVERSIDADE PARANAENSE	Privada com fins lucrativos	Educação Presencial	PR	20	2,750201663	2,409646041	2,494784946	3	0,65	5,598833076	3,528740252	4
TECNOLOGIA EM ESTÉTICA E COSMÉTICA	437	UNIVERSIDADE PARANAENSE	Privada com fins lucrativos	Educação Presencial	PR	28	2,378673197	3,545251293	3,253606769	4	0,607142857	2,495015722	3,29024058	4
ODONTOLOGIA	437	UNIVERSIDADE PARANAENSE	Privada com fins lucrativos	Educação Presencial	PR	40	3,082065451	3,361553212	3,291681272	4	0,8	5,946548716	4,063044588	5
ARQUITETURA E URBANISMO	437	UNIVERSIDADE PARANAENSE	Privada com fins lucrativos	Educação Presencial	PR	0				SC				SC
ENGENHARIA CIVIL	19563	Faculdade UMFG	Privada com fins lucrativos	Educação Presencial	PR	17	2,526168362	2,480008455	2,491548431	3	0,764705882	3,728881402	3,210532272	4
TECNOLOGIA EM ESTÉTICA E COSMÉTICA	437	UNIVERSIDADE PARANAENSE	Privada com fins lucrativos	Educação Presencial	PR	15	2,331255565	3,905045604	3,511598094	4	0,533333333	5,105967561	4,106566481	5
ENGENHARIA ELÉTRICA	588	UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ	Pública Federal	Educação Presencial	PR	98	3,094894523	3,297268908	3,246675312	4	0,979591837	1,407701182	3,269681817	4
FISIOTERAPIA	3393	FACULDADE DE ENSINO SUPERIOR DOM BOSCO	Privada com fins lucrativos	Educação Presencial	PR	10	0,630798052	2,059745508	1,702508644	2	0,9	-0,678076371	2,319441771	3
FARMÁCIA	3393	FACULDADE DE ENSINO SUPERIOR DOM BOSCO	Privada com fins lucrativos	Educação Presencial	PR	14	1,6980744	1,509783363	1,556856122	2	0,5	-1,886512977	1,857501522	2
ENGENHARIA DE COMPUTAÇÃO I	588	UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ	Pública Federal	Educação Presencial	PR	85	2,657588458	2,759342135	2,733903716	3	0,976470588	-0,434656108	2,124930385	3
